,instance,method,goals_visited,path_length,num_points,runtime,valid,number_goal_points,number_start_points,number_end_points,instance_number
274,instance_057,beam,8,1683.271,10,0.0025,1,10,3,2,instance_057
275,instance_057,annealing,0,0.0,0,0.0069,0,10,3,2,instance_057
276,instance_057,local,5,1972.912,7,0.0003,1,10,3,2,instance_057
277,instance_057,hybrid,5,1972.912,7,0.0004,1,10,3,2,instance_057
278,instance_058,greedy,0,503.589,2,0.0039,1,36,3,2,instance_058
279,instance_047,annealing,8,1246.664,10,0.2164,1,20,4,2,instance_047
280,instance_058,annealing,0,0.0,0,0.0023,0,36,3,2,instance_058
281,instance_058,local,0,503.589,2,0.0025,1,36,3,2,instance_058
282,instance_038,annealing,12,1534.444,14,0.3004,1,18,2,2,instance_038
283,instance_059,greedy,0,697.573,2,0.001,1,36,3,3,instance_059
284,instance_058,hybrid,0,503.589,2,0.0025,1,36,3,2,instance_058
285,instance_059,annealing,0,0.0,0,0.0013,0,36,3,3,instance_059
286,instance_059,local,0,697.573,2,0.0013,1,36,3,3,instance_059
287,instance_059,hybrid,0,697.573,2,0.001,1,36,3,3,instance_059
288,instance_060,greedy,0,512.665,2,0.001,1,16,3,2,instance_060
289,instance_059,beam,11,1919.336,13,0.025,1,36,3,3,instance_059
290,instance_060,annealing,0,0.0,0,0.0012,0,16,3,2,instance_060
291,instance_060,beam,11,1802.727,13,0.0211,1,16,3,2,instance_060
292,instance_060,local,0,512.665,2,0.0011,1,16,3,2,instance_060
293,instance_060,hybrid,0,512.665,2,0.0011,1,16,3,2,instance_060
294,instance_061,greedy,11,1939.082,13,0.0023,1,25,3,3,instance_061
295,instance_058,beam,15,1998.34,17,0.0722,1,36,3,2,instance_058
296,instance_061,local,11,1939.082,13,0.0046,1,25,3,3,instance_061
297,instance_061,hybrid,11,1939.082,13,0.0037,1,25,3,3,instance_061
298,instance_062,greedy,8,1943.417,10,0.0016,1,25,2,2,instance_062
299,instance_061,beam,11,1939.082,13,0.0211,1,25,3,3,instance_061
300,instance_062,beam,9,1896.353,11,0.0088,1,25,2,2,instance_062
301,instance_062,local,8,1943.417,10,0.0016,1,25,2,2,instance_062
302,instance_062,hybrid,8,1943.417,10,0.0017,1,25,2,2,instance_062
303,instance_063,greedy,3,1928.173,5,0.0005,1,36,2,2,instance_063
304,instance_063,beam,6,1966.397,8,0.0045,1,36,2,2,instance_063
305,instance_052,annealing,13,1912.747,14,0.245,0,13,2,3,instance_052
306,instance_063,local,3,1867.615,5,0.0007,1,36,2,2,instance_063
307,instance_063,hybrid,3,1867.615,5,0.0007,1,36,2,2,instance_063
308,instance_064,greedy,2,1508.103,4,0.0001,1,6,2,3,instance_064
309,instance_064,beam,2,1498.746,4,0.0003,1,6,2,3,instance_064
310,instance_064,annealing,0,0.0,0,0.0002,0,6,2,3,instance_064
311,instance_064,local,2,1508.103,4,0.0001,1,6,2,3,instance_064
312,instance_064,hybrid,2,1508.103,4,0.0001,1,6,2,3,instance_064
313,instance_065,greedy,2,1610.509,4,0.0001,1,5,2,3,instance_065
314,instance_065,beam,2,1610.509,4,0.0002,1,5,2,3,instance_065
315,instance_065,annealing,0,0.0,0,0.0013,0,5,2,3,instance_065
316,instance_065,local,2,1610.509,4,0.0002,1,5,2,3,instance_065
317,instance_065,hybrid,2,1610.509,4,0.0001,1,5,2,3,instance_065
318,instance_066,greedy,2,1646.276,4,0.0001,1,5,2,3,instance_066
319,instance_066,beam,2,1317.6,4,0.0031,1,5,2,3,instance_066
320,instance_066,annealing,0,0.0,0,0.0052,0,5,2,3,instance_066
321,instance_066,local,2,1646.276,4,0.0001,1,5,2,3,instance_066
322,instance_066,hybrid,2,1646.276,4,0.0001,1,5,2,3,instance_066
323,instance_067,greedy,2,1398.75,4,0.0001,1,10,2,2,instance_067
324,instance_067,beam,3,1964.738,5,0.0004,1,10,2,2,instance_067
325,instance_067,annealing,0,0.0,0,0.0003,0,10,2,2,instance_067
326,instance_067,local,2,1398.75,4,0.0001,1,10,2,2,instance_067
327,instance_067,hybrid,2,1398.75,4,0.0001,1,10,2,2,instance_067
328,instance_068,greedy,2,1625.754,4,0.0001,1,8,2,3,instance_068
329,instance_068,beam,3,1921.175,5,0.0003,1,8,2,3,instance_068
330,instance_068,annealing,0,0.0,0,0.0024,0,8,2,3,instance_068
331,instance_068,local,2,1625.754,4,0.0002,1,8,2,3,instance_068
332,instance_068,hybrid,2,1625.754,4,0.0001,1,8,2,3,instance_068
333,instance_069,greedy,10,1997.646,12,0.0113,1,24,2,2,instance_069
334,instance_069,beam,11,1694.357,13,0.0237,1,24,2,2,instance_069
335,instance_054,annealing,10,1958.312,11,0.2681,0,19,3,2,instance_054
336,instance_069,local,10,1924.314,12,0.013,1,24,2,2,instance_069
337,instance_069,hybrid,10,1924.314,12,0.0082,1,24,2,2,instance_069
338,instance_070,greedy,0,173.968,2,0.0006,1,22,2,2,instance_070
339,instance_070,beam,13,1990.129,15,0.0207,1,22,2,2,instance_070
340,instance_070,annealing,0,0.0,0,0.0027,0,22,2,2,instance_070
341,instance_070,local,0,173.968,2,0.0007,1,22,2,2,instance_070
342,instance_070,hybrid,0,173.968,2,0.0008,1,22,2,2,instance_070
343,instance_071,greedy,0,737.599,2,0.0001,1,21,3,2,instance_071
344,instance_045,annealing,15,1955.888,16,0.4776,0,19,2,2,instance_045
345,instance_071,beam,17,1947.429,19,0.058,1,21,3,2,instance_071
346,instance_071,local,0,737.599,2,0.0001,1,21,3,2,instance_071
347,instance_071,hybrid,0,737.599,2,0.0001,1,21,3,2,instance_071
348,instance_072,greedy,0,482.83,2,0.0003,1,15,2,2,instance_072
349,instance_072,beam,4,1966.777,6,0.0007,1,15,2,2,instance_072
350,instance_072,annealing,0,0.0,0,0.0003,0,15,2,2,instance_072
351,instance_072,local,0,482.83,2,0.0002,1,15,2,2,instance_072
352,instance_072,hybrid,0,482.83,2,0.0002,1,15,2,2,instance_072
353,instance_073,greedy,5,1997.3,7,0.0006,1,21,3,3,instance_073
354,instance_056,annealing,12,1742.65,13,0.3418,0,14,3,2,instance_056
355,instance_062,annealing,10,1952.029,11,0.2216,0,25,2,2,instance_062
356,instance_073,local,5,1997.3,7,0.0011,1,21,3,3,instance_073
357,instance_073,hybrid,5,1997.3,7,0.0008,1,21,3,3,instance_073
358,instance_074,greedy,1,1986.575,3,0.0002,1,25,2,3,instance_074
359,instance_074,beam,1,1986.575,3,0.0003,1,25,2,3,instance_074
360,instance_074,annealing,0,0.0,0,0.0003,0,25,2,3,instance_074
361,instance_074,local,1,1986.575,3,0.0002,1,25,2,3,instance_074
362,instance_074,hybrid,1,1986.575,3,0.0003,1,25,2,3,instance_074
