instance,method,goals_visited,path_length,num_points,runtime,valid
instance_067,beam,3,1964.738,5,0.0004,1
instance_067,annealing,0,0.0,0,0.0003,0
instance_067,local,2,1398.75,4,0.0001,1
instance_067,hybrid,2,1398.75,4,0.0001,1
instance_068,greedy,2,1625.754,4,0.0001,1
instance_068,beam,3,1921.175,5,0.0003,1
instance_068,annealing,0,0.0,0,0.0024,0
instance_068,local,2,1625.754,4,0.0002,1
instance_068,hybrid,2,1625.754,4,0.0001,1
instance_069,greedy,10,1997.646,12,0.0113,1
instance_069,beam,11,1694.357,13,0.0237,1
instance_054,annealing,10,1958.312,11,0.2681,0
instance_069,local,10,1924.314,12,0.013,1
instance_069,hybrid,10,1924.314,12,0.0082,1
instance_070,greedy,0,173.968,2,0.0006,1
instance_070,beam,13,1990.129,15,0.0207,1
instance_070,annealing,0,0.0,0,0.0027,0
instance_070,local,0,173.968,2,0.0007,1
instance_070,hybrid,0,173.968,2,0.0008,1
instance_071,greedy,0,737.599,2,0.0001,1
instance_045,annealing,15,1955.888,16,0.4776,0
instance_071,beam,17,1947.429,19,0.058,1
instance_071,local,0,737.599,2,0.0001,1
instance_071,hybrid,0,737.599,2,0.0001,1
instance_072,greedy,0,482.83,2,0.0003,1
instance_072,beam,4,1966.777,6,0.0007,1
instance_072,annealing,0,0.0,0,0.0003,0
instance_072,local,0,482.83,2,0.0002,1
instance_072,hybrid,0,482.83,2,0.0002,1
instance_073,greedy,5,1997.3,7,0.0006,1
instance_056,annealing,12,1742.65,13,0.3418,0
instance_062,annealing,10,1952.029,11,0.2216,0
instance_073,local,5,1997.3,7,0.0011,1
instance_073,hybrid,5,1997.3,7,0.0008,1
instance_074,greedy,1,1986.575,3,0.0002,1
instance_074,beam,1,1986.575,3,0.0003,1
instance_074,annealing,0,0.0,0,0.0003,0
instance_074,local,1,1986.575,3,0.0002,1
instance_074,hybrid,1,1986.575,3,0.0003,1
instance_075,greedy,4,1924.527,6,0.0002,1
instance_075,beam,5,1943.093,7,0.0006,1
instance_071,annealing,0,737.599,2,0.0622,1
instance_075,local,4,1924.527,6,0.0002,1
instance_075,hybrid,4,1924.527,6,0.0002,1
instance_076,greedy,4,1896.702,6,0.0008,1
instance_075,annealing,0,0.0,0,0.0031,0
instance_076,annealing,0,0.0,0,0.0021,0
instance_076,local,4,1896.702,6,0.0003,1
instance_076,hybrid,4,1896.702,6,0.0003,1
instance_077,greedy,4,1691.501,6,0.0002,1
instance_077,beam,4,1691.501,6,0.0006,1
instance_077,annealing,0,0.0,0,0.0005,0
instance_077,local,4,1691.501,6,0.0003,1
instance_076,beam,6,1662.911,8,0.0091,1
instance_077,hybrid,4,1691.501,6,0.0003,1
instance_078,greedy,3,1825.741,5,0.0001,1
instance_078,beam,4,1824.4,6,0.0006,1
instance_078,annealing,0,0.0,0,0.0003,0
instance_078,local,3,1825.741,5,0.0002,1
instance_078,hybrid,3,1825.741,5,0.0001,1
instance_079,greedy,4,1936.232,6,0.0002,1
instance_079,beam,4,1936.232,6,0.0005,1
instance_061,annealing,11,1939.082,13,0.2651,1
instance_079,hybrid,4,1936.232,6,0.0003,1
instance_080,greedy,6,1977.925,8,0.0005,1
instance_079,local,4,1936.232,6,0.0004,1
instance_080,beam,6,1829.754,8,0.0013,1
instance_080,local,6,1977.925,8,0.0005,1
instance_080,annealing,0,0.0,0,0.0049,0
instance_080,hybrid,6,1977.925,8,0.0038,1
instance_081,greedy,5,1978.571,7,0.0003,1
instance_081,beam,5,1996.747,7,0.0021,1
instance_081,local,5,1848.993,7,0.0007,1
